Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
Improved community safety,Emotional and physical cost of stalking Global (domestic abuse),of per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Emotional and physical cost of violence Global with injury (domestic abuse),of per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Emotional and physical cost of violence Global without injury (domestic abuse),of per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,"Fear of crime, emotional cost of crime Global (2018)",of per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Feeling secure from crime (2020)          Global,of per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,"GMCA Crime - average cost per incident of crime, across all types of Global crime (fiscal, economic and social values) (2024)",ident,1628,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved community safety,"GMCA Offender, Prison Average cost across all prisons, including central Global costs (costs per prisoner per annum) (2024)",soner r,49858,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved community safety,"GMCA Police officer, Sergeant and Global below - cost per hour (2024)",r,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved community safety,Lost output due to domestic abuse Global (time off work/productivity),of per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Support of an Independent Domestic Global Violence Advisor ( IDVA) -annual caseload of 100 cases (2024),visor,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,The cost of support provided by a Global domestic violence advisor (2014),of per 3,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Unit cost of an young offender in the Global Youth Justice System (2016),of per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Value of having contents insurance Global (2024),usehold,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Value of having home insurance Global (buildings and contents cover) (2021),of,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved digital inclusion,Average value lost from cyber crime and Global fraud (2025),rson per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved digital inclusion,Cost of average savings from using Global online shops and services (2024),usehold,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
Improved digital inclusion,Improved confidence in using the Global internet,of,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
Improved digital inclusion,The value to a person getting online for Global the first time (2015),of,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
Improved employment opportunities,Average annual salary of 16-17 year olds Global in FT work (2008),of per,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,2,
Improved employment opportunities,Employment gained - average increase Global in income (2021),of per,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,2,
Improved employment opportunities,Teacher pay scale median salary range for England (Excluding London and          Global Fringe),rson per,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,2,
Improved employment opportunities,Value to an individual of moving from    Global unemployment to a secure job (2017),f er,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,2,
Improved family wellbeing,Improved family wellbeing from parenting support and mindfulness        Global training,nt ng g e,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,2,
Improved flood defences and protection,Average cost of flood damage to a Global business (2016),tion,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
Improved flood defences and protection,Average cost of flood damage to a Global house (2016),f s,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
Improved flood defences and protection,GMCA Typical damage per property Global from a flood event (high value) (2024),ehold g at t water,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved flood defences and protection,GMCA Typical damage per property Global from a flood event (low value) (2024),ehold g at t water,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved flood defences and protection,Local residents willingness to pay to Global avoid flooding (2024),ehold,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
Improved flood defences and protection,Spend on flood defences per head Global (2017),f er,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
Improved mental health,Average annual healthcare cost of someone with a serious mental illness    Global (2014),f er,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved mental health,Average annual healthcare cost of someone with Bipolar disorder and        Global affective psychosis (2021),f er,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved mental health,Average annual healthcare cost of someone with Schizophrenia and other       Global psychoses (2014),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved mental health,Average annual healthcare cost of someone with serious mental illness        Global (SMI) with comorbid depression (2014),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved mental health,Average annual healthcare cost of someone with serious mental illness Global (SMI) with one other comorbid condition (2014),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved mental health,Average cost for provision for those Global with MH disorders- /adult / year (2024),rson per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved mental health,Average cost of mental health Global prescription in UK (2020),of iptions,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved mental health,Average cost of provision for adult anxiety/depression - /adult/year           Global (Measure Up) (2024),rson,,https://measure-up.org/,Existing evidence link,,
Improved mental health,Average cost of provision for adult anxiety/depression - /adult/year           Global (Wellby) (2024),rson,,https://www.stateoflife.org/wellby,Existing evidence link,,
Improved mental health,Average Cost of Psychiatrist Support Global (NI) (2008),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved mental health,Average cost of psychology support (NI) Global (2008),of ns,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved mental health,Average cost of relationship counselling Global (2013),of ns,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Average Cost of Session with Global Psychiatrist (2021),of ns,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Average Cost of Session with Psychologist (2021)                        Global,of ns,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Average unit cost to the NHS of treating Global someone with depression (2024),erson,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Cost of a domestic abuse counselling Global session,our,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Cost of an emergency call to the Global ambulance service (2015),r of,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Cost of dementia for people living in the Global community setting (2014),r of e per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Cost of depression (lost employment) Global (2024),erson,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Cost of drug addiction to family (2009)     Global,r of ies,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Cost of family therapy (2013)               Global,r of ons,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Cost of healthcare for adult drug users Global not in structured treatment (2017),r of e per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Cost of mental health problems exacerbating a long term health             Global condition (2024),erson,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Cost saved by supporting employees' Global mental health (2020),r of yees,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Counselling (NI) (2008)                     Global,r of ons,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Economic cost of a suicide (UK)             Global,uicide nted,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health /app.socialvalueengine.co.uk/proxies - Social Value Engine,Emotional cost of a year of Global unemployment (2013),"r of e per age 25 of 103 2026, 17:30",,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Estimated avoided costs per person per year during which dementia is delayed     Global (2015),son,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,"GMCA Average gross weekly expenditure on supporting older adults Global (65+) with a learning disability in residential care, England (2024)",k,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved mental health,"GMCA Average gross weekly expenditure on supporting older adults (65+) with a memory or cognition          Global support need in residential care, England (2024)",k,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved mental health,"GMCA Average gross weekly expenditure on supporting older adults Global (65+) with a mental health support need in residential care, England (2024)",k,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved mental health,"GMCA Average gross weekly expenditure on supporting older adults Global (65+) with a sensory support need in residential care, England (2024)",k,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved mental health,"GMCA Counselling services in primary Global medical care, cost per hour (2024)",r,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved mental health,GMCA Increased life satisfaction by a Global one-point change (2024),son per,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved mental health,"GMCA Mental health care clusters, Global average cost per cluster day (2024)",,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved mental health,"GMCA NHS community mental health team (CMHT) for older people with Global mental health problems, cost per hour per team member (2024)",r,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
health,working hour (excluding qualification     Global costs) (2024),,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Improved mental health,Impact of homelessness on mental Global health,son per,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,3,
Improved mental health,Improved emotional wellbeing as a result of self-esteem and confidence      Global (2019),of,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Improved self confidence and aptitude Global (child participant) (2024),son,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Improving mental health by accessing psychological therapies for adults and    Global the elderly (2016),of s,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Reduced levels of anxiety and stress Global (University of York) (2024),son,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Reduced levels of anxiety and stress Global (Wellby) (2024),son,,https://www.stateoflife.org/wellby,Existing evidence link,,
Improved mental health,Reduced stay in hospital from crisis Global team intervention (2024),son,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Relief from depression and anxiety Global (2015),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Social Work Support Mental Health (NI) Global (2008),of s,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Value of an adult engaging with culture and heritage every few months (Wellby)    Global (2024),son,,https://www.stateoflife.org/wellby,Existing evidence link,,
Improved mental health,Value of Community Engagement Global (Measure Up) (2024),son,,https://measure-up.org/,Existing evidence link,,
Improved mental health /app.socialvalueengine.co.uk/proxies - Social Value Engine,Value of Community Engagement (Wellby) (2024)                           Global,"son e 27 of 103 2026, 17:30",1500,https://www.stateoflife.org/wellby,Existing evidence link,,
Improved mental health,Value of mental health component on Global Quality of Life Adjusted year (2010),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved mental health,Weekly wellbeing value from formal Global volunteering (Scotland),unteer k,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,3,
Improved mental health,Wellbeing benefit of volunteering         Global,unteer r,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,3,
Improved mental health,Wellbeing value from weekly formal Global volunteering (Scotland),unteer r,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,3,
Improved mental health,Wellbeing value of relief from Global drug/alcohol addiction (2014),of,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Additional health care costs for someone with cardiovascular disease       Global (2018),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Ambulance journey to hospital & A&E Global Attendance (2012),rney,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Average cost of an inpatient stay in Global hospital (2012),ward r bed,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Average Cost of Hospital Admission (NI) Global (2008),of ons,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Average cost of hospitalisation due to Global COPD (2018),of ons,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Average cost of mountain rescue           Global,cue,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,"Average cost of treating a person with two long term conditions (i.e.diabetes,   Global heart disease, asthma or stroke) (2014)",of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
health,(excluding medication) (2024)             Global,son,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Improved physical health,Average cost of treating lung cancer Global (2024),son,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Average cost of treating severe Global refractory asthma (2015),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Average health and social care cost for Global someone with malnutrition (2015),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Average State Spend on Health Per Global Person (2012),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Contribution of movement and dance Global to mental wellbeing uplift,son per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Cost of a fall (2018)                     Global,of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Cost of a GP Visit (NI) (2008)            Global,of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Cost of aiding a person in distress at Global sea,son,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Cost of ambulance attendance and treatment at the scene of an accident     Global and transfer to hospital,son,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Cost of a missed hospital appointment     Global,ment,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,cost of a pain management programme       Global,of,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Cost to NHS of physical inactivity (2018)   Global,e per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,GMCA Additional healthcare costs of children born to pregnant smokers -         Global first year following birth (2024),erson,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,GMCA A&E attendance (all scenarios) Global (2024),ncident,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,"GMCA Ambulance services - average Global cost of call out, per incident (2024)",ncident,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,GMCA Average annual cost of patient with chronic obstructive pulmonary          Global disease (COPD) (2024),ear,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,"GMCA Average gross weekly expenditure on supporting older adults Global (65+) with a physical support need in residential care, England (2024)",eek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,"GMCA Average weekly cost of home care received from local authority in-      Global house provision, England (2024)",eek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,"GMCA Community-based allied health professionals, Band 5: cost per working Global hour (excluding qualification costs) (2024)",our,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,GMCA Community sexual health services - HIV/AIDS specialist nursing      Global (face-to-face) (2024),dance,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,"GMCA Drugs misuse - average annual savings resulting from reductions in drug-related offending and health and Global social care costs as a result of delivery of a structured, effective treatment programme (2024)",ear,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,"GMCA GP - cost per hour, General Medical Services activity (excluding        Global qualification costs, but including direct care staff costs) (2024)",our,136,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,GMCA Hospital day cases - average Global cost per episode (2024),pisode,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,GMCA Hospital inpatient admission - average cost per episode (elective and      Global non-elective admissions) (2024),pisode,3030,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,GMCA Hospital outpatients - average Global cost per outpatient attendance (2024),dance,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,"GMCA Intermediate care, bed based - average direct cost per service user        Global (2024)",erson,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,GMCA NHS Dentist (performer-only) - Global average cost per hour (2024),our,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,GMCA Non-fatal workplace injury - average cost per incident (for any          Global length of absence) (2024),ncident,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,"GMCA Nurse, GP practice - cost per hour (excluding qualification costs)        Global (2024)",our,43,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,GMCA Nursing care for older people - average gross weekly expenditure per        Global person (2024),eek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,GMCA Reablement service - average cost per service user for 'functional'      Global reablement (2024),ase,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved physical health,Home repairs / adaptations (falls Global prevention etc.),ousehold ation,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Improved physical health - Unplanned          Glob hospital bed day avoided,ective spital bed y avoided,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Intervention to reduce obesity (2021)         Glob,mber of ople,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,"Non-elective inpatient, long stay             Glob",r patient,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,"Non-elective inpatient, short stay            Glob",r patient,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,Regular day or night hospital admission       Glob,r patient,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved physical health,The cost of treating severe refractory Glob asthma (2015),mber of ople per ar,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,3,
Improved welfare for local citizens,Average reduction to grocery bills by a household being given or growing fresh        Glob vegetables,r family per ar,,https://www.gov.uk/government/collections/family-food-statistics,Direct/supporting UK source,3,
Improved welfare for local citizens,GMCA Average additional value per property within 100m - 500m of                Glob accessible green or blue space (2024),r property apital value),,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved welfare for local citizens,GMCA Average price premium for a property with a view over green or blue       Glob space (2024),r property apital value),,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved welfare for local citizens,"GMCA Improvement in water quality status in rivers, lakes, canals and coastal   Glob waters. (2024)",r KM,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved welfare for /app.socialvalueengine.co.uk/proxies - Social Value Engine,GMCA Industry average present value lifetime social cost of providing water       Glob,"ga litre per Page 32 of 103 /2026, 17:30",,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved welfare for local citizens,GMCA Marginal change in road noise Global levels ('high' value) (2024),decimal,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved welfare for local citizens,GMCA Marginal change in road noise Global levels ('low' value) (2024),decimal,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved welfare for local citizens,GMCA Municipal Waste (generated by domestic properties) - average carbon Global emissions per tonne of waste disposed (2024),nne,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved welfare for local citizens,GMCA Welfare cost from significant litter accumulation in residential areas   Global (high value) (2024),usehold,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved welfare for local citizens,GMCA Welfare cost from significant litter accumulation in residential areas   Global (low value) (2024),usehold,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved welfare for local citizens,GMCA Welfare value of outdoor Global recreation sites (high value) (2024),ctare us land ),,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved welfare for local citizens,GMCA Welfare value of outdoor Global recreation sites (low value) (2024),ctare us land ),,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved wellbeing,Value of wellbeing of being employed Global rather than unemployed (2021),of per,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
Improved Wellbeing,Average cost of owning a Dog               Global,g,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,3,
"Improved wellbeing through arts, culture and sport",Average cost of attending a live music Global performance,of,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Average family spend on sports/leisure Global (2017),of olds ar,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Contribution of sport to social cohesion Global (2017),"of ed (e.g, 500)",,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Estimated annual cost of private sports Global tuition (2024),rson,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Life satisfaction increase from visiting heritage (including marine or maritime     Global environments) (2014),of,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Therapeutic effect of art and heritage Global (2017),of,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Value of art and self esteem to young Global people (2024),of per,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Value of engagement in crafts (2014)       Global,of per,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Value of engagement in football (2014)     Global,of per ty,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Value of frequent moderate exercise Global (2019),of per,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Value of visiting a museum                 Global,rson per,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
"Improved wellbeing through arts, culture and sport",Value of wellbeing for an individual who Global is fairly active (2024),of per,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,3,
